detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
FAST,FREAK,4,15.804,13.9818,0.469482
FAST,FREAK,5,12.5951,100.985,0.472686
FAST,FREAK,6,7.14812,12.5703,0.409734
FAST,FREAK,7,34.3404,11.9833,0.44083
FAST,FREAK,8,18.7875,10.6233,0.446001
FAST,FREAK,9,15.8894,12.319,0.424766
FAST,FREAK,10,13.7297,12.0364,0.417457
FAST,FREAK,11,10.4914,12.5032,0.412022
FAST,FREAK,12,10.1,11.5615,0.473916
FAST,FREAK,13,9.22307,12.0352,0.446172
FAST,FREAK,14,10.9678,10.8595,0.487526
FAST,FREAK,15,8.09422,10.7673,0.451939
FAST,FREAK,16,8.81392,12.0872,0.456536
FAST,FREAK,17,10.2926,8.14662,0.424406
FAST,FREAK,18,8.30978,10.7801,0.458238
FAST,ORB,1,12.9722,10.9542,0.413695
FAST,ORB,2,12.264,12.4972,0.439562
FAST,ORB,3,13.9161,14.0617,0.445044
FAST,ORB,4,15.804,12.7877,0.43536
FAST,ORB,5,12.5951,47.2589,0.403304
FAST,ORB,6,7.14812,13.1897,0.39551
FAST,ORB,7,34.3404,11.5615,0.401838
FAST,ORB,8,18.7875,12.0404,0.408942
FAST,ORB,9,15.8894,12.9015,0.39122
FAST,ORB,10,13.7297,13.8374,0.388075
FAST,ORB,11,10.4914,14.4469,0.396685
FAST,ORB,12,10.1,11.4009,0.40695
FAST,ORB,13,9.22307,12.0542,0.435078
FAST,ORB,14,10.9678,11.4888,0.411549
FAST,ORB,15,8.09422,11.0367,0.386736
FAST,ORB,16,8.81392,11.8008,0.393748
FAST,ORB,17,10.2926,10.3377,0.397692
FAST,ORB,18,8.30978,11.1053,0.398557
FAST,SIFT,1,12.9722,11.7818,0.407323
FAST,SIFT,2,12.264,12.1065,0.416284
FAST,SIFT,3,13.9161,14.0985,0.420276
FAST,SIFT,4,15.804,14.2442,0.395587
FAST,SIFT,5,12.5951,18.3487,0.408904
FAST,SIFT,6,7.14812,12.9491,0.409021
FAST,SIFT,7,34.3404,11.9536,0.439702
FAST,SIFT,8,18.7875,11.5751,0.407476
FAST,SIFT,9,15.8894,12.8356,0.408388
FAST,SIFT,10,13.7297,13.4659,0.410962
FAST,SIFT,11,10.4914,13.7917,0.417363
FAST,SIFT,12,10.1,11.9836,0.421318
FAST,SIFT,13,9.22307,11.9654,0.414752
FAST,SIFT,14,10.9678,11.5103,0.412963
FAST,SIFT,15,8.09422,11.616,0.421696
FAST,SIFT,16,8.81392,12.1039,0.424722
FAST,SIFT,17,10.2926,9.29589,0.409077
FAST,SIFT,18,8.30978,11.8529,0.425363
HARRIS,BRIEF,1,12.9722,nan,0.387874
HARRIS,BRIEF,2,12.264,-52.4543,0.398408
HARRIS,BRIEF,3,13.9161,-211.01,0.392364
HARRIS,BRIEF,4,15.804,11.3794,0.391335
HARRIS,BRIEF,5,12.5951,34.4012,0.382417
HARRIS,BRIEF,6,7.14812,13.5907,0.384031
HARRIS,BRIEF,7,34.3404,-102.208,0.390123
HARRIS,BRIEF,8,18.7875,12.3725,0.379854
HARRIS,BRIEF,9,15.8894,nan,0.380735
HARRIS,BRIEF,10,13.7297,nan,0.40023
HARRIS,BRIEF,11,10.4914,23.3405,0.398114
HARRIS,BRIEF,12,10.1,5.18994,0.377233
HARRIS,BRIEF,13,9.22307,568.322,0.380688
HARRIS,BRIEF,14,10.9678,5.6061,0.403285
HARRIS,BRIEF,15,8.09422,25.0781,0.388822
HARRIS,BRIEF,16,8.81392,6.79332,0.384426
HARRIS,BRIEF,17,10.2926,12.5848,0.385995
HARRIS,BRIEF,18,8.30978,nan,0.395406
HARRIS,BRISK,1,12.9722,10.9082,0.527302
HARRIS,BRISK,2,12.264,0.0933117,0.549941
HARRIS,BRISK,3,13.9161,nan,0.55625
HARRIS,BRISK,4,15.804,12.4858,0.521723
HARRIS,BRISK,5,12.5951,-164.259,0.518842
HARRIS,BRISK,6,7.14812,12.9945,0.528636
HARRIS,BRISK,7,34.3404,13.1905,0.524789
HARRIS,BRISK,8,18.7875,14.678,0.528915
HARRIS,BRISK,9,15.8894,nan,0.523189
HARRIS,BRISK,10,13.7297,-inf,0.537451
HARRIS,BRISK,11,10.4914,11.8135,0.528852
HARRIS,BRISK,12,10.1,12.551,0.533302
HARRIS,BRISK,13,9.22307,-23.331,0.536611
HARRIS,BRISK,14,10.9678,5.55228,0.541238
HARRIS,BRISK,15,8.09422,12.2391,0.532544
HARRIS,BRISK,16,8.81392,6.60338,0.538566
HARRIS,BRISK,17,10.2926,12.5848,0.530946
HARRIS,BRISK,18,8.30978,-inf,0.53203
HARRIS,FREAK,1,12.9722,8.69538,0.406453
HARRIS,FREAK,2,12.264,nan,0.404529
HARRIS,FREAK,3,13.9161,nan,0.409169
HARRIS,FREAK,4,15.804,11.6519,0.409878
HARRIS,FREAK,5,12.5951,17.2006,0.407459
HARRIS,FREAK,6,7.14812,13.5599,0.409139
HARRIS,FREAK,7,34.3404,-0.123826,0.411962
HARRIS,FREAK,8,18.7875,12.3725,0.394693
HARRIS,FREAK,9,15.8894,nan,0.407189
HARRIS,FREAK,10,13.7297,nan,0.409491
HARRIS,FREAK,11,10.4914,11.0967,0.401516
HARRIS,FREAK,12,10.1,11.6948,0.403789
HARRIS,FREAK,13,9.22307,13.4095,0.40777
HARRIS,FREAK,14,10.9678,nan,0.395993
HARRIS,FREAK,15,8.09422,25.0781,0.429399
HARRIS,FREAK,16,8.81392,11.5754,0.414452
HARRIS,FREAK,17,10.2926,nan,0.40497
HARRIS,FREAK,18,8.30978,nan,0.406454
HARRIS,ORB,1,12.9722,10.9082,0.385402
HARRIS,ORB,2,12.264,161.505,0.380372
HARRIS,ORB,3,13.9161,nan,0.381451
HARRIS,ORB,4,15.804,13.6604,0.385185
HARRIS,ORB,5,12.5951,13.3698,0.395592
HARRIS,ORB,6,7.14812,12.9945,0.398214
HARRIS,ORB,7,34.3404,-inf,0.390446
HARRIS,ORB,8,18.7875,12.9162,0.385401
HARRIS,ORB,9,15.8894,nan,0.39159
HARRIS,ORB,10,13.7297,nan,0.386639
HARRIS,ORB,11,10.4914,23.3405,0.396597
HARRIS,ORB,12,10.1,11.6948,0.401508
HARRIS,ORB,13,9.22307,-23.331,0.393977
HARRIS,ORB,14,10.9678,5.85828,0.395914
HARRIS,ORB,15,8.09422,-inf,0.380673
HARRIS,ORB,16,8.81392,6.60338,0.388677
HARRIS,ORB,17,10.2926,nan,0.383869
HARRIS,ORB,18,8.30978,nan,0.398514
HARRIS,SIFT,1,12.9722,10.9082,0.39407
HARRIS,SIFT,2,12.264,161.505,0.401418
HARRIS,SIFT,3,13.9161,-211.01,0.395846
HARRIS,SIFT,4,15.804,12.1284,0.404865
HARRIS,SIFT,5,12.5951,37.3809,0.41877
HARRIS,SIFT,6,7.14812,13.5907,0.408484
HARRIS,SIFT,7,34.3404,14.6579,0.403314
HARRIS,SIFT,8,18.7875,13.2352,0.399033
HARRIS,SIFT,9,15.8894,3.90277,0.399998
HARRIS,SIFT,10,13.7297,-76.9648,0.394842
HARRIS,SIFT,11,10.4914,nan,0.398381
HARRIS,SIFT,12,10.1,nan,0.418175
HARRIS,SIFT,13,9.22307,13.4327,0.410115
HARRIS,SIFT,14,10.9678,5.6061,0.443537
HARRIS,SIFT,15,8.09422,76.6817,0.422647
HARRIS,SIFT,16,8.81392,6.52962,0.4084
HARRIS,SIFT,17,10.2926,nan,0.412337
HARRIS,SIFT,18,8.30978,nan,0.408748
ORB,BRIEF,1,12.9722,23.9769,0.386841
ORB,BRIEF,2,12.264,36.5211,0.391689
ORB,BRIEF,3,13.9161,100.582,0.390849
ORB,BRIEF,4,15.804,11.6841,0.382282
ORB,BRIEF,5,12.5951,17.7453,0.392358
ORB,BRIEF,6,7.14812,12.9137,0.388163
ORB,BRIEF,7,34.3404,-inf,0.389895
ORB,BRIEF,8,18.7875,80.6303,0.408079
ORB,BRIEF,9,15.8894,188.579,0.412096
ORB,BRIEF,10,13.7297,23.2694,0.418083
ORB,BRIEF,11,10.4914,17.0883,0.395634
ORB,BRIEF,12,10.1,21.2101,0.418514
ORB,BRIEF,13,9.22307,14.3884,0.394755
ORB,BRIEF,14,10.9678,8.49348,0.383766
ORB,BRIEF,15,8.09422,8.94125,0.397214
ORB,BRIEF,16,8.81392,11.5532,0.405203
ORB,BRIEF,17,10.2926,15.0441,0.390549
ORB,BRIEF,18,8.30978,21.9941,0.386826
ORB,BRISK,1,12.9722,14.3109,0.534499
ORB,BRISK,2,12.264,12.843,0.532096
ORB,BRISK,3,13.9161,11.9174,0.534463
ORB,BRISK,4,15.804,35.2228,0.533363
ORB,BRISK,5,12.5951,558.789,0.531497
ORB,BRISK,6,7.14812,10.2233,0.529937
ORB,BRISK,7,34.3404,557.597,0.541715
ORB,BRISK,8,18.7875,10.7914,0.533395
ORB,BRISK,9,15.8894,11.7628,0.536089
ORB,BRISK,10,13.7297,13.3046,0.53611
ORB,BRISK,11,10.4914,7.78781,0.526613
ORB,BRISK,12,10.1,-inf,0.540318
ORB,BRISK,13,9.22307,10.1193,0.534978
ORB,BRISK,14,10.9678,7.69819,0.528318
ORB,BRISK,15,8.09422,-inf,0.530506
ORB,BRISK,16,8.81392,13.8599,0.529413
ORB,BRISK,17,10.2926,14.9341,0.521904
ORB,BRISK,18,8.30978,28.0396,0.524221
ORB,FREAK,1,12.9722,12.5394,0.421834
ORB,FREAK,2,12.264,20.5211,0.407408
ORB,FREAK,3,13.9161,11.3805,0.41889
ORB,FREAK,4,15.804,11.1387,0.407971
ORB,FREAK,5,12.5951,-inf,0.408517
ORB,FREAK,6,7.14812,11.5438,0.411667
ORB,FREAK,7,34.3404,-inf,0.406075
ORB,FREAK,8,18.7875,11.8776,0.405219
ORB,FREAK,9,15.8894,13.3112,0.414566
ORB,FREAK,10,13.7297,-inf,0.418434
ORB,FREAK,11,10.4914,8.12118,0.420749
ORB,FREAK,12,10.1,8.31342,0.398007
ORB,FREAK,13,9.22307,9.0733,0.421744
ORB,FREAK,14,10.9678,63.442,0.40251
ORB,FREAK,15,8.09422,8.44355,0.422296
ORB,FREAK,16,8.81392,7.38504,0.408822
ORB,FREAK,17,10.2926,11.3219,0.404312
ORB,FREAK,18,8.30978,7.62862,0.406884
ORB,ORB,1,12.9722,17.1067,0.410078
ORB,ORB,2,12.264,11.1048,0.402064
ORB,ORB,3,13.9161,18.2793,0.400056
ORB,ORB,4,15.804,43.2558,0.389919
ORB,ORB,5,12.5951,17.7866,0.401492
ORB,ORB,6,7.14812,-inf,0.39727
ORB,ORB,7,34.3404,-inf,0.407486
ORB,ORB,8,18.7875,7.67079,0.40534
ORB,ORB,9,15.8894,19.0607,0.518363
ORB,ORB,10,13.7297,16.1459,0.533543
ORB,ORB,11,10.4914,6.77969,0.482549
ORB,ORB,12,10.1,13.4073,0.465961
ORB,ORB,13,9.22307,9.31842,0.447253
ORB,ORB,14,10.9678,9.61972,0.436756
